t, v
-0.000000, 1.834766
-0.000010, 1.857861
-0.000020, 1.880957
-0.000029, 1.904053
-0.000039, 1.927148
-0.000049, 1.950244
-0.000059, 1.950244
-0.000068, 1.973340
-0.000078, 1.973340
-0.000088, 1.996436
-0.000098, 1.973340
-0.000108, 1.973340
-0.000117, 1.973340
-0.000127, 1.950244
-0.000137, 1.927148
-0.000147, 1.950244
-0.000156, 1.904053
-0.000166, 1.904053
-0.000176, 1.834766
-0.000186, 1.834766
-0.000196, 1.811670
-0.000205, 1.788574
-0.000215, 1.788574
-0.000225, 1.765479
-0.000235, 1.626904
-0.000244, 1.626904
-0.000254, 1.603809
-0.000264, 1.534521
-0.000274, 1.511426
-0.000283, 1.488330
-0.000293, 1.419043
-0.000303, 1.349756
-0.000313, 1.303564
-0.000323, 1.234277
-0.000332, 1.234277
-0.000342, 1.164990
-0.000352, 1.118799
-0.000362, 1.072607
-0.000371, 1.049512
-0.000381, 0.980225
-0.000391, 0.934033
-0.000401, 0.864746
-0.000411, 0.841650
-0.000420, 0.772363
-0.000430, 0.726172
-0.000440, 0.679980
-0.000450, 0.633789
-0.000459, 0.564502
-0.000469, 0.541406
-0.000479, 0.449023
-0.000489, 0.425928
-0.000499, 0.425928
-0.000508, 0.356641
-0.000518, 0.287354
-0.000528, 0.264258
-0.000538, 0.264258
-0.000547, 0.218066
-0.000557, 0.148779
-0.000567, 0.171875
-0.000577, 0.125684
-0.000587, 0.102588
-0.000596, 0.102588
-0.000606, 0.102588
-0.000616, 0.056396
-0.000626, 0.056396
-0.000635, 0.056396
-0.000645, 0.056396
-0.000655, 0.056396
-0.000665, 0.056396
-0.000674, 0.079492
-0.000684, 0.079492
-0.000694, 0.079492
-0.000704, 0.056396
-0.000714, 0.102588
-0.000723, 0.125684
-0.000733, 0.171875
-0.000743, 0.218066
-0.000753, 0.218066
-0.000762, 0.241162
-0.000772, 0.264258
-0.000782, 0.333545
-0.000792, 0.379736
-0.000802, 0.379736
-0.000811, 0.472119
-0.000821, 0.495215
-0.000831, 0.541406
-0.000841, 0.587598
-0.000850, 0.633789
-0.000860, 0.679980
-0.000870, 0.749268
-0.000880, 0.795459
-0.000890, 0.864746
-0.000899, 0.887842
-0.000909, 0.934033
-0.000919, 0.980225
-0.000929, 1.049512
-0.000938, 1.141895
-0.000948, 1.188086
-0.000958, 1.234277
-0.000968, 1.280469
-0.000978, 1.326660
-0.000987, 1.349756
-0.000997, 1.395947
-0.001007, 1.442139
-0.001017, 1.534521
-0.001026, 1.557617
-0.001036, 1.603809
-0.001046, 1.650000
-0.001056, 1.673096
-0.001065, 1.719287
-0.001075, 1.742383
-0.001085, 1.788574
-0.001095, 1.811670
-0.001105, 1.857861
-0.001114, 1.880957
-0.001124, 1.880957
-0.001134, 1.927148
-0.001144, 1.927148
-0.001153, 1.950244
-0.001163, 1.973340
-0.001173, 1.973340
-0.001183, 1.973340
-0.001193, 1.973340
-0.001202, 1.973340
-0.001212, 1.973340
-0.001222, 1.973340
-0.001232, 1.950244
-0.001241, 1.950244
-0.001251, 1.950244
-0.001261, 1.904053
-0.001271, 1.880957
-0.001281, 1.857861
-0.001290, 1.834766
-0.001300, 1.765479
-0.001310, 1.765479
-0.001320, 1.742383
-0.001329, 1.696191
-0.001339, 1.673096
-0.001349, 1.626904
-0.001359, 1.603809
-0.001369, 1.511426
-0.001378, 1.465234
-0.001388, 1.419043
-0.001398, 1.395947
-0.001408, 1.326660
-0.001417, 1.303564
-0.001427, 1.257373
-0.001437, 1.211182
-0.001447, 1.118799
-0.001457, 1.072607
-0.001466, 1.026416
-0.001476, 1.026416
-0.001486, 0.957129
-0.001496, 0.934033
-0.001505, 0.887842
-0.001515, 0.772363
-0.001525, 0.726172
-0.001535, 0.679980
-0.001544, 0.633789
-0.001554, 0.610693
-0.001564, 0.564502
-0.001574, 0.472119
-0.001584, 0.495215
-0.001593, 0.402832
-0.001603, 0.379736
-0.001613, 0.333545
-0.001623, 0.310449
-0.001632, 0.264258
-0.001642, 0.264258
-0.001652, 0.171875
-0.001662, 0.171875
-0.001672, 0.148779
-0.001681, 0.125684
-0.001691, 0.102588
-0.001701, 0.102588
-0.001711, 0.079492
-0.001720, 0.056396
-0.001730, 0.056396
-0.001740, 0.079492
-0.001750, 0.079492
-0.001760, 0.056396
-0.001769, 0.056396
-0.001779, 0.056396
-0.001789, 0.079492
-0.001799, 0.102588
-0.001808, 0.125684
-0.001818, 0.148779
-0.001828, 0.148779
-0.001838, 0.194971
-0.001848, 0.194971
-0.001857, 0.218066
-0.001867, 0.264258
-0.001877, 0.333545
-0.001887, 0.356641
-0.001896, 0.379736
-0.001906, 0.449023
-0.001916, 0.449023
-0.001926, 0.518311
-0.001935, 0.541406
-0.001945, 0.633789
-0.001955, 0.679980
-0.001965, 0.726172
-0.001975, 0.772363
-0.001984, 0.795459
-0.001994, 0.841650
-0.002004, 0.934033
-0.002014, 0.934033
-0.002023, 1.049512
-0.002033, 1.072607
-0.002043, 1.141895
-0.002053, 1.188086
-0.002063, 1.234277
-0.002072, 1.280469
-0.002082, 1.372852
-0.002092, 1.419043
-0.002102, 1.442139
-0.002111, 1.488330
-0.002121, 1.534521
-0.002131, 1.557617
-0.002141, 1.603809
-0.002151, 1.673096
-0.002160, 1.719287
-0.002170, 1.765479
-0.002180, 1.765479
-0.002190, 1.788574
-0.002199, 1.834766
-0.002209, 1.857861
-0.002219, 1.880957
-0.002229, 1.904053
-0.002239, 1.927148
-0.002248, 1.927148
-0.002258, 1.950244
-0.002268, 1.950244
-0.002278, 1.973340
-0.002287, 1.996436
-0.002297, 1.973340
-0.002307, 1.973340
-0.002317, 1.973340
-0.002326, 1.973340
-0.002336, 1.950244
-0.002346, 1.950244
-0.002356, 1.904053
-0.002366, 1.904053
-0.002375, 1.880957
-0.002385, 1.834766
-0.002395, 1.857861
-0.002405, 1.788574
-0.002414, 1.765479
-0.002424, 1.765479
-0.002434, 1.650000
-0.002444, 1.626904
-0.002454, 1.603809
-0.002463, 1.557617
-0.002473, 1.511426
-0.002483, 1.465234
-0.002493, 1.395947
-0.002502, 1.395947
-0.002512, 1.303564
-0.002522, 1.257373
-0.002532, 1.211182
-0.002542, 1.164990
-0.002551, 1.118799
-0.002561, 1.072607
-0.002571, 1.026416
-0.002581, 0.957129
-0.002590, 0.934033
-0.002600, 0.864746
-0.002610, 0.841650
-0.002620, 0.772363
-0.002630, 0.749268
-0.002639, 0.703076
-0.002649, 0.656885
-0.002659, 0.564502
-0.002669, 0.518311
-0.002678, 0.472119
-0.002688, 0.449023
-0.002698, 0.402832
-0.002708, 0.356641
-0.002717, 0.310449
-0.002727, 0.264258
-0.002737, 0.264258
-0.002747, 0.218066
-0.002757, 0.194971
-0.002766, 0.171875
-0.002776, 0.148779
-0.002786, 0.125684
-0.002796, 0.102588
-0.002805, 0.079492
-0.002815, 0.056396
-0.002825, 0.056396
-0.002835, 0.079492
-0.002845, 0.056396
-0.002854, 0.079492
-0.002864, 0.079492
-0.002874, 0.079492
-0.002884, 0.079492
-0.002893, 0.079492
-0.002903, 0.102588
-0.002913, 0.125684
-0.002923, 0.148779
-0.002933, 0.171875
-0.002942, 0.218066
-0.002952, 0.218066
-0.002962, 0.241162
-0.002972, 0.287354
-0.002981, 0.310449
-0.002991, 0.379736
-0.003001, 0.379736
-0.003011, 0.472119
-0.003021, 0.518311
-0.003030, 0.541406
-0.003040, 0.587598
-0.003050, 0.633789
-0.003060, 0.679980
-0.003069, 0.772363
-0.003079, 0.795459
-0.003089, 0.864746
-0.003099, 0.910937
-0.003109, 0.957129
-0.003118, 1.003320
-0.003128, 1.049512
-0.003138, 1.141895
-0.003148, 1.188086
-0.003157, 1.257373
-0.003167, 1.280469
-0.003177, 1.303564
-0.003187, 1.372852
-0.003196, 1.395947
-0.003206, 1.465234
-0.003216, 1.534521
-0.003226, 1.580713
-0.003236, 1.580713
-0.003245, 1.650000
-0.003255, 1.696191
-0.003265, 1.719287
-0.003275, 1.742383
-0.003284, 1.788574
-0.003294, 1.834766
-0.003304, 1.857861
-0.003314, 1.880957
-0.003324, 1.904053
-0.003333, 1.927148
-0.003343, 1.927148
-0.003353, 1.927148
-0.003363, 1.973340
-0.003372, 1.950244
-0.003382, 1.973340
-0.003392, 1.973340
-0.003402, 1.973340
-0.003412, 1.973340
-0.003421, 1.973340
-0.003431, 1.973340
-0.003441, 1.950244
-0.003451, 1.950244
-0.003460, 1.927148
-0.003470, 1.904053
-0.003480, 1.857861
-0.003490, 1.834766
-0.003500, 1.788574
-0.003509, 1.765479
-0.003519, 1.719287
-0.003529, 1.696191
-0.003539, 1.673096
-0.003548, 1.626904
-0.003558, 1.580713
-0.003568, 1.511426
-0.003578, 1.465234
-0.003587, 1.419043
-0.003597, 1.419043
-0.003607, 1.349756
-0.003617, 1.303564
-0.003627, 1.257373
-0.003636, 1.211182
-0.003646, 1.095703
-0.003656, 1.072607
-0.003666, 1.026416
-0.003675, 1.003320
-0.003685, 0.980225
-0.003695, 0.910937
-0.003705, 0.864746
-0.003715, 0.795459
-0.003724, 0.726172
-0.003734, 0.679980
-0.003744, 0.633789
-0.003754, 0.610693
-0.003763, 0.564502
-0.003773, 0.472119
-0.003783, 0.495215
-0.003793, 0.402832
-0.003803, 0.356641
-0.003812, 0.333545
-0.003822, 0.310449
-0.003832, 0.264258
-0.003842, 0.264258
-0.003851, 0.194971
-0.003861, 0.171875
-0.003871, 0.148779
-0.003881, 0.125684
-0.003891, 0.148779
-0.003900, 0.102588
-0.003910, 0.079492
-0.003920, 0.056396
-0.003930, 0.079492
-0.003939, 0.079492
-0.003949, 0.079492
-0.003959, 0.056396
-0.003969, 0.079492
-0.003978, 0.056396
-0.003988, 0.079492
-0.003998, 0.102588
-0.004008, 0.102588
-0.004018, 0.148779
-0.004027, 0.148779
-0.004037, 0.171875
-0.004047, 0.194971
-0.004057, 0.218066
-0.004066, 0.264258
-0.004076, 0.310449
-0.004086, 0.356641
-0.004096, 0.379736
-0.004106, 0.425928
-0.004115, 0.472119
-0.004125, 0.495215
-0.004135, 0.541406
-0.004145, 0.633789
-0.004154, 0.679980
-0.004164, 0.703076
-0.004174, 0.726172
-0.004184, 0.795459
-0.004194, 0.864746
-0.004203, 0.934033
-0.004213, 0.934033
-0.004223, 1.072607
-0.004233, 1.095703
-0.004242, 1.118799
-0.004252, 1.188086
-0.004262, 1.234277
-0.004272, 1.257373
-0.004282, 1.372852
-0.004291, 1.395947
-0.004301, 1.465234
-0.004311, 1.488330
-0.004321, 1.534521
-0.004330, 1.580713
-0.004340, 1.603809
-0.004350, 1.673096
-0.004360, 1.719287
-0.004370, 1.765479
-0.004379, 1.765479
-0.004389, 1.811670
-0.004399, 1.857861
-0.004409, 1.834766
-0.004418, 1.880957
-0.004428, 1.904053
-0.004438, 1.927148
-0.004448, 1.950244
-0.004457, 1.973340
-0.004467, 1.973340
-0.004477, 1.973340
-0.004487, 1.973340
-0.004497, 1.973340
-0.004506, 1.973340
-0.004516, 1.950244
-0.004526, 1.950244
-0.004536, 1.927148
-0.004545, 1.927148
-0.004555, 1.904053
-0.004565, 1.904053
-0.004575, 1.857861
-0.004585, 1.857861
-0.004594, 1.811670
-0.004604, 1.788574
-0.004614, 1.765479
-0.004624, 1.742383
-0.004633, 1.650000
-0.004643, 1.626904
-0.004653, 1.603809
-0.004663, 1.557617
-0.004673, 1.511426
-0.004682, 1.465234
-0.004692, 1.442139
-0.004702, 1.419043
-0.004712, 1.303564
-0.004721, 1.257373
-0.004731, 1.211182
-0.004741, 1.118799
-0.004751, 1.095703
-0.004761, 1.049512
-0.004770, 1.003320
-0.004780, 0.980225
-0.004790, 0.934033
-0.004800, 0.864746
-0.004809, 0.818555
-0.004819, 0.795459
-0.004829, 0.726172
-0.004839, 0.703076
-0.004848, 0.656885
-0.004858, 0.564502
-0.004868, 0.495215
-0.004878, 0.472119
-0.004888, 0.425928
-0.004897, 0.402832
-0.004907, 0.356641
-0.004917, 0.287354
-0.004927, 0.264258
-0.004936, 0.264258
